LANID,LANNAME,LANPOP,LANAREA,VERX,VERY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
010020000000,Schleswig-Holstein,2896712,15804.34961,534392.7145,6014848.664,1,1,1,0,1,1,4,5,5,5,4,1,32,32,31,20,21,17,8,12,15,8,14,17,10,7,7,4,8,10,7,11,10,10,11,8,12,6,7,9,10,8,3,3,8,4,5,5,2,4,5,5,4,5,5,1,1,0,0,0,0,0,0,0,0,0
020000000000,Hamburg,1841179,755.0900269,567833.1326,5933348.008,1,2,0,1,1,0,7,3,1,3,3,2,13,5,3,2,5,2,4,4,2,4,2,3,8,3,2,0,3,3,1,4,3,4,4,1,3,2,1,5,2,1,2,7,4,0,1,2,3,3,3,3,2,1,3,1,1,0,0,0,0,0,0,0,0,0
032410001001,Niedersachsen,7982448,47709.46094,586875.233,5812810.883,3,1,0,4,6,2,3,11,12,21,17,16,39,42,47,30,19,28,27,23,13,19,12,20,29,7,12,17,13,11,21,14,15,5,7,5,9,4,10,12,11,16,8,17,14,14,2,2,11,11,12,7,17,7,10,12,2,0,1,0,0,0,0,1,0,0
040110000000,Bremen,682986,419.3599854,485689.3271,5884378.29,0,0,0,0,0,0,0,0,1,1,0,0,4,4,1,1,0,0,0,1,1,2,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0
051110000000,Nordrhein-Westfalen,17932651,34112.17969,399644.2252,5704024.304,12,5,14,8,9,3,16,48,24,42,37,21,118,65,58,38,46,24,41,23,37,24,13,23,18,15,12,11,15,7,11,17,15,13,15,14,16,7,8,14,7,9,13,16,16,9,9,9,16,15,14,15,14,14,21,15,4,3,0,1,0,2,0,1,0,0
064140000000,Hessen,6265809,21115.68945,501847.2626,5605265.432,0,4,2,3,1,2,7,4,3,4,7,1,22,18,19,9,10,7,11,4,2,6,1,4,15,11,11,5,10,7,2,4,8,5,2,3,4,3,2,5,3,4,2,3,4,4,3,0,4,2,5,0,6,2,5,2,2,1,0,0,0,0,0,1,0,0
073150000000,Rheinland-Pfalz,4084844,19858,388850.1489,5529902.06,3,1,0,1,5,1,3,4,1,11,4,5,18,18,13,9,14,5,5,7,2,1,4,1,2,5,7,5,4,4,5,6,7,5,4,5,5,4,3,4,2,5,3,5,4,3,1,2,1,0,4,1,3,4,6,6,4,0,0,0,0,0,0,0,0,0
081110000000,Baden-W__rttemberg,11069533,35748.16016,503216.1869,5375818.784,0,2,5,1,4,1,11,7,9,10,16,10,61,51,35,20,21,23,26,30,18,24,16,19,37,16,25,12,14,24,13,21,20,14,4,9,18,18,15,30,48,22,27,35,31,25,13,11,12,14,17,7,11,10,24,16,10,1,0,0,0,1,0,0,1,1
091620000000,Bayern,13076721,70548.65625,677749.4856,5423360.787,10,3,3,3,6,4,13,10,12,10,13,22,115,111,71,43,32,22,60,34,25,26,20,25,35,23,24,21,22,27,20,20,44,23,9,16,21,22,12,16,19,22,22,34,17,19,12,12,7,8,8,9,14,14,20,6,3,0,1,1,1,0,0,0,0,0
100410100100,Saarland,990509,2571.110107,351466.3784,5472191.892,0,0,0,1,0,0,0,1,1,2,0,1,8,2,3,1,2,3,3,0,1,1,2,1,2,3,3,1,1,8,3,2,1,3,1,1,1,2,3,2,1,2,2,3,1,2,0,1,5,2,3,0,1,2,3,5,0,0,0,0,0,0,0,0,0,0
110000000000,Berlin,3644826,891.1199951,798734.8435,5825933.183,18,5,6,5,6,5,12,13,20,14,14,13,40,44,30,26,19,27,9,17,12,22,8,24,59,19,15,15,30,24,16,16,24,6,8,4,18,6,7,8,9,16,20,27,13,10,6,14,3,4,6,4,6,0,3,3,0,0,0,0,0,0,0,0,0,0
120540000000,Brandenburg,2511917,29654.48047,837219.604,5816886.958,4,5,9,7,9,4,7,16,11,20,14,8,36,33,25,28,47,25,30,31,35,26,15,23,12,26,17,29,25,31,24,42,24,16,15,16,30,22,18,28,23,16,24,28,25,11,8,13,14,14,13,21,89,21,17,12,8,0,0,0,0,2,0,0,3,1
130040000000,Mecklenburg-Vorpommern,1609675,23294.57031,740279.0372,5980568.405,2,2,3,2,5,3,4,8,17,23,14,10,19,16,21,18,10,9,9,13,10,12,5,7,9,5,7,11,5,15,4,13,6,5,9,7,9,6,7,8,2,7,8,10,7,6,5,5,8,11,8,2,9,5,5,5,9,0,0,0,0,1,1,0,0,0
146120000000,Sachsen,4077937,18449.96094,804515.9951,5664713.014,15,14,26,22,19,22,24,42,27,75,44,23,66,66,58,39,40,22,39,41,40,41,26,22,35,28,30,27,38,27,31,43,28,26,17,13,31,20,18,24,26,22,21,62,53,21,13,9,10,8,17,10,10,18,15,18,8,0,0,4,1,0,0,0,0,1
